mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778268773.297395,258842,-4.60,3.72,6.54,-2.82,0.75,0.80
1778268773.2984326,258864,-4.53,3.67,6.45,-2.65,0.61,0.77
1778268773.3559945,258886,-4.56,3.72,6.44,-2.73,0.67,0.82
1778268773.3575854,258908,-4.57,3.69,6.46,-1.98,0.65,0.93
1778268773.4154994,258930,-4.56,3.68,6.47,-2.24,0.66,0.81
1778268773.417041,258952,-4.62,3.72,6.52,-2.51,0.72,0.70
1778268773.4181254,258974,-4.56,3.69,6.42,-2.63,0.72,0.76
1778268773.476022,258996,-4.56,3.72,6.44,-2.77,0.77,0.80
1778268773.4773474,259018,-4.59,3.68,6.43,-2.71,0.69,0.78
1778268773.4780693,259040,-4.58,3.69,6.48,-2.56,0.59,0.98
1778268773.5387483,259062,-4.63,3.70,6.44,-2.14,0.76,1.05
1778268773.540445,259084,-4.60,3.70,6.40,-1.85,0.64,0.92
1778268773.5950835,259106,-4.57,3.71,6.47,-1.92,0.56,1.00
1778268773.5963662,259128,-4.56,3.79,6.49,-2.80,0.69,0.91
1778268773.5970721,259150,-4.58,3.71,6.46,-2.50,0.76,0.99
1778268773.6546378,259172,-4.58,3.70,6.44,-2.31,0.61,0.96
1778268773.6557622,259194,-4.60,3.71,6.43,-2.34,0.58,0.92
1778268773.6565075,259216,-4.58,3.70,6.46,-1.83,0.66,0.97
1778268773.7159183,259238,-4.60,3.72,6.52,-1.75,0.82,1.06
1778268773.7177145,259260,-4.60,3.74,6.50,-2.13,0.79,1.07
1778268773.7188144,259282,-4.55,3.71,6.45,-2.59,0.69,0.79
1778268773.7770286,259304,-4.57,3.73,6.50,-2.75,0.63,0.81
1778268773.8366356,259326,-4.62,3.70,6.50,-2.78,0.76,0.89
1778268773.8383698,259348,-4.59,3.71,6.60,-2.85,0.85,0.74
1778268773.8391843,259370,-4.59,3.70,6.42,-2.81,0.73,0.71
1778268773.8398418,259392,-4.56,3.68,6.51,-2.74,0.70,0.89
1778268773.8960621,259414,-4.63,3.70,6.45,-2.82,0.63,0.88
1778268773.9559362,259436,-4.60,3.68,6.50,-2.17,0.65,1.02
1778268773.9574776,259458,-4.63,3.77,6.47,-1.98,0.63,0.85
1778268773.9581141,259480,-4.61,3.77,6.49,-2.63,0.70,0.76
