mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778269529.1698978,26763,-5.25,4.10,7.05,12.14,-30.93,84.92
1778269529.1710906,26785,-4.81,4.53,6.75,11.08,-29.01,75.60
1778269529.2293742,26807,-4.51,5.43,6.86,17.73,-24.70,74.17
1778269529.2309656,26829,-4.32,4.85,6.17,30.97,-16.48,74.22
1778269529.232072,26851,-4.38,5.21,5.37,25.50,-5.03,63.11
1778269529.2903342,26873,-5.30,4.39,6.04,17.07,-0.01,50.30
1778269529.2918277,26895,-5.40,3.99,5.64,22.68,10.00,41.21
1778269529.2929003,26917,-7.06,4.39,6.44,28.60,13.05,37.18
1778269529.3497915,26939,-7.93,3.78,6.63,46.49,7.18,46.66
1778269529.351979,26961,-7.88,3.56,6.02,60.74,7.57,54.73
1778269529.352875,26983,-7.98,2.96,5.65,66.61,8.08,60.49
1778269529.409662,27005,-8.21,2.43,5.29,71.03,12.73,64.13
1778269529.4114187,27027,-8.92,1.79,5.01,80.31,16.08,72.82
1778269529.4696014,27049,-8.75,1.18,4.20,85.09,19.62,76.42
1778269529.470767,27071,-8.64,0.01,3.62,84.32,25.17,65.89
1778269529.4716687,27093,-8.81,-0.38,3.16,83.24,25.32,49.70
1778269529.529424,27115,-8.70,-0.70,2.47,75.23,25.46,33.21
1778269529.5306344,27137,-10.62,1.66,1.56,-45.89,23.31,-30.98
1778269529.5317335,27159,-13.84,-5.50,1.54,-197.92,-14.53,-105.01
1778269529.5893614,27181,7.01,-9.15,4.96,-250.14,-22.77,-188.47
1778269529.5905867,27203,-10.90,-6.39,14.71,-151.71,-64.41,-92.12
1778269529.649536,27225,-5.75,-1.20,14.38,-70.67,-31.97,-37.55
1778269529.6507587,27247,-4.41,4.28,6.60,-22.16,-11.34,-4.78
1778269529.6520529,27269,-4.54,3.38,5.90,-23.82,-10.97,-4.86
1778269529.7100813,27291,-4.60,3.60,6.73,-25.31,-12.54,-4.78
1778269529.711734,27313,-3.91,3.03,7.05,-17.87,-9.98,-2.18
1778269529.7130635,27335,-4.05,2.85,7.28,-8.39,-4.10,1.02
1778269529.7695348,27357,-4.39,3.48,6.72,-5.56,0.19,3.67
1778269529.7710676,27379,-4.30,3.37,6.83,-4.64,1.73,4.44
1778269529.7724986,27401,-4.31,3.29,6.90,-2.78,3.34,4.69
1778269529.8293302,27423,-4.28,3.32,6.90,-0.58,4.70,3.84
1778269529.830813,27445,-4.27,3.66,6.58,-1.12,3.43,1.25
1778269529.8891757,27467,-4.29,3.58,6.73,-4.82,1.48,-1.89
1778269529.8908532,27489,-4.34,3.53,6.67,-6.25,-0.42,-2.88
1778269529.891926,27511,-4.25,3.39,6.72,-6.10,-0.65,-2.63
1778269529.9494214,27533,-4.46,3.40,6.78,-4.59,-0.72,-2.66
1778269529.9509943,27555,-4.27,3.16,6.90,-4.21,0.03,-1.86
1778269529.9518864,27577,-4.39,3.44,6.67,-2.85,0.08,-0.95
1778269530.010122,27599,-4.36,3.37,6.74,-3.18,0.17,-1.56
1778269530.0118783,27621,-4.29,3.31,6.93,-2.15,-0.69,-1.99
1778269530.0130606,27643,-4.45,3.33,6.96,-1.80,-1.22,-2.01
1778269530.0693955,27665,-4.24,3.44,6.84,-1.86,-0.34,-1.98
1778269530.0708833,27687,-4.41,3.35,6.84,-1.33,0.07,-1.46
1778269530.1298666,27709,-4.33,3.29,6.84,-0.94,0.92,-1.21
1778269530.1316874,27731,-4.32,3.23,6.83,-0.69,1.09,-1.83
1778269530.1330583,27753,-4.33,3.24,6.99,-1.15,1.29,-2.19
1778269530.1892028,27775,-4.39,3.32,6.89,0.24,2.51,-3.07
1778269530.1908655,27797,-4.33,3.38,6.84,0.05,2.78,-3.94
1778269530.1918561,27819,-4.36,3.33,6.93,0.08,3.83,-5.52
1778269530.2498026,27841,-4.40,3.34,6.68,-0.17,4.69,-7.86
1778269530.2516391,27863,-4.53,3.42,6.75,1.05,7.63,-11.05
1778269530.3093894,27885,-4.36,3.70,6.65,0.94,13.94,-18.89
1778269530.3119543,27907,-4.33,3.83,6.38,3.19,27.55,-29.10
1778269530.313332,27929,-3.53,4.40,6.72,2.52,45.82,-35.39
1778269530.3697393,27951,-4.31,4.70,7.93,-7.89,80.21,-58.34
1778269530.3712964,27973,-4.39,4.45,7.52,-36.79,105.60,-77.16
1778269530.3728583,27995,-5.24,2.80,6.88,-49.82,131.27,-103.55
1778269530.4293072,28017,-7.44,3.26,6.59,-45.15,140.79,-137.18
1778269530.4313314,28039,-8.68,3.99,5.83,-38.18,138.18,-166.77
1778269530.4322553,28061,-11.41,6.13,7.21,-49.10,97.01,-185.95
1778269530.4897609,28083,-8.80,5.61,8.11,-44.80,67.72,-190.07
1778269530.491492,28105,-4.13,10.37,7.95,-17.02,12.58,-144.06
1778269530.5497468,28127,-0.90,10.44,6.60,-10.11,-20.92,-101.35
1778269530.5520737,28149,0.54,11.69,5.84,14.78,-29.24,-44.25
1778269530.5536075,28171,0.55,11.57,5.53,13.25,-35.63,14.33
1778269530.6095607,28193,-0.58,9.45,6.72,22.03,-43.25,69.05
1778269530.611679,28215,-2.60,7.45,7.82,34.62,-58.66,102.89
1778269530.614446,28237,-4.95,5.55,8.45,44.40,-83.89,115.68
1778269530.6706583,28259,-6.07,4.63,7.56,52.38,-99.31,117.95
1778269530.6724951,28281,-6.97,4.15,6.39,66.49,-96.79,117.35
1778269530.6738276,28303,-7.18,4.22,5.44,75.91,-83.49,115.55
1778269530.7302341,28325,-8.08,4.90,5.93,75.18,-67.58,111.59
1778269530.7325559,28347,-9.18,5.13,6.09,63.47,-57.37,106.59
1778269530.7897325,28369,-6.61,3.99,3.30,61.00,-34.90,102.56
1778269530.791809,28391,-9.39,3.89,7.36,22.50,-31.86,78.50
1778269530.7927787,28413,-6.69,1.03,6.54,11.18,-20.85,54.62
1778269530.8498158,28435,-6.57,1.93,6.41,72.15,17.25,63.28
1778269530.8519888,28457,-7.62,3.73,6.50,118.37,50.82,89.42
1778269530.8536725,28479,-10.09,5.43,6.59,113.22,52.63,112.77
1778269530.9109662,28501,-10.61,4.34,6.83,75.88,34.74,125.03
1778269530.9124753,28523,-9.75,2.36,5.68,58.85,25.30,135.46
1778269530.9691653,28545,-8.71,0.68,4.12,51.26,34.70,132.16
1778269530.9703658,28567,-9.28,-1.13,3.44,53.92,49.73,118.44
1778269530.9711702,28589,-9.19,-2.63,2.64,72.24,64.11,97.53
1778269531.030195,28611,-9.13,-2.82,1.84,83.52,78.49,63.69
1778269531.0317864,28633,-9.99,-1.62,1.83,79.03,80.14,33.42
1778269531.0328836,28655,-19.62,-0.51,1.02,-49.27,75.80,-51.40
1778269531.0887773,28677,-15.13,-6.21,1.31,-250.14,-7.60,-127.03
1778269531.089748,28699,-13.10,19.62,1.12,-250.14,-70.61,-144.21
1778269531.0907426,28721,-3.05,-3.10,7.52,-186.15,-70.96,-96.18
1778269531.150039,28743,-7.00,-0.77,14.34,-98.20,-42.96,-49.34
1778269531.1522248,28765,-5.56,5.90,5.22,-59.33,-23.46,-16.44
1778269531.209862,28787,-5.34,3.70,6.92,-45.24,-21.31,-13.74
1778269531.2121751,28809,-4.60,2.32,8.20,-30.61,-15.87,-10.25
1778269531.2137127,28831,-4.22,2.78,7.62,-18.19,-11.03,-5.55
1778269531.2698483,28853,-4.37,3.22,6.89,-11.35,-5.26,-1.47
1778269531.2718253,28875,-4.28,3.38,6.68,-6.47,-1.07,1.34
1778269531.2730646,28897,-4.29,3.37,7.00,-4.46,0.14,1.02
1778269531.3308232,28919,-4.15,3.30,6.89,-1.93,2.45,1.42
1778269531.333056,28941,-4.31,3.58,6.72,-2.23,2.18,0.79
1778269531.3341541,28963,-4.30,3.53,6.67,-4.37,0.56,-1.63
1778269531.389455,28985,-4.25,3.40,6.81,-4.89,-0.98,-3.49
1778269531.3915305,29007,-4.20,3.20,7.12,-4.21,-1.34,-4.79
1778269531.4508362,29029,-4.28,3.33,6.79,-4.84,-1.96,-5.24
1778269531.4537685,29051,-4.24,3.08,7.02,-4.26,-2.04,-4.63
1778269531.4549365,29073,-4.28,3.26,6.97,-3.01,-0.93,-3.72
1778269531.5109947,29095,-4.24,3.29,6.88,-1.64,0.11,-2.82
1778269531.515213,29117,-4.31,3.37,6.90,-2.14,-0.40,-2.68
1778269531.5163856,29139,-4.24,3.05,6.85,-0.85,-0.08,-1.96
1778269531.5695524,29161,-4.35,3.24,6.95,0.08,0.44,-0.99
1778269531.571472,29183,-4.25,3.27,6.82,1.18,1.04,-1.04
1778269531.6293216,29205,-4.27,3.22,6.82,3.01,2.00,-1.43
1778269531.6315043,29227,-4.20,3.39,6.76,3.08,3.51,-1.15
1778269531.6327279,29249,-4.40,3.63,6.77,0.30,3.43,-1.41
1778269531.6899326,29271,-4.30,3.58,6.91,-1.21,4.38,-3.28
1778269531.6918955,29293,-4.11,3.49,6.95,-0.32,7.79,-7.87
1778269531.6929216,29315,-4.12,4.00,6.59,0.47,20.94,-20.85
1778269531.7489665,29337,-2.87,5.02,6.37,-4.82,48.44,-40.46
1778269531.7504747,29359,-2.16,6.97,7.88,-28.24,103.52,-78.77
1778269531.751739,29381,-4.36,5.48,8.26,-82.92,142.38,-124.37
1778269531.8102949,29403,-7.28,4.33,9.60,-87.36,157.73,-169.73
1778269531.8123677,29425,-10.16,8.30,7.73,-125.15,121.80,-229.50
1778269531.8697617,29447,-9.93,4.66,7.76,-150.34,84.29,-250.14
1778269531.8719468,29469,-5.90,10.68,11.63,-50.87,28.21,-167.12
